,uid,latitude,longitude,name,city,st,zip,cat,elev,comments,height
3833,184042,44.999182,-93.278652,Low Clearance,Minneapolis,MN,55422,LC13,,13 - 1 height clearance (136),13.1
3834,184043,40.743163,-74.157575,Low Clearance,Harrison,NJ,7029,LC12,,12 - 1 height clearance (136),12.1
3835,184044,40.743878,-74.158621,Low Clearance,Harrison,NJ,7029,LC11,,11 - 4 height clearance (136),11.4
3836,184045,40.744541,-74.15956,Low Clearance,Harrison,NJ,7029,LC11,,11 - 11 height clearance (136),11.11
3837,184046,40.742468,-74.155891,Low Clearance,Harrison,NJ,7029,LC14,,14 - 1 height clearance,14.1
3838,184047,40.739383,-74.155681,Low Clearance,Harrison,NJ,7029,LC14,,14 - 2 height clearance,14.2
3839,184901,37.031309,-94.522203,Low Clearance,Joplin,MO,64804,LC12,,12 - 0 height clearance (136),12.0
3840,184910,37.266984,-77.411785,Low Clearance,Colonial Heights,VA,23834,LC14,,14 - 0 height clearance,14.0
3841,184911,37.536633,-77.426947,Low Clearance,Richmond,VA,23219,LC13,,13 - 8 height clearance,13.8
3842,184912,37.536899,-77.427317,Low Clearance,Richmond,VA,23219,LC13,,13 - 8 height clearance,13.8
3843,184913,38.171867,-78.280555,Low Clearance,Barboursville,VA,22923,LC13,,13 - 9 height clearance,13.9
3844,184914,38.241353,-78.113209,Low Clearance,Orange,VA,22960,LC13,,13 - 7 height clearance,13.7
3845,184915,36.050611,-84.206903,Low Clearance,Oak Ridge,TN,37830,LC14,,14 - 3 height clearance,14.3
3846,184916,36.06261,-84.22446,Low Clearance,Clinton,TN,37716,LC13,,13 - 11 height clearance,13.11
3847,184917,36.164046,-82.836545,Low Clearance,Greeneville,TN,37743,LC13,,13 - 10 height clearance,13.1
3848,184918,36.223701,-82.634001,Low Clearance,Limestone,TN,37681,LC13,,13 - 7 height clearance,13.7
3849,184919,35.93129000000001,-84.001915,Low Clearance,Knoxville,TN,37919,LC13,,13 - 8 height clearance,13.8
3850,184920,35.840895,-84.18397399999998,Low Clearance,Knoxville,TN,37922,LC9,,9 - 1 height clearance (136),9.1
3851,184921,35.384228,-84.691013,Low Clearance,Riceville,TN,37370,LC13,,13 - 2 height clearance (136),13.2
3852,184922,35.287896,-84.753323,Low Clearance,Charleston,TN,37310,LC13,,13 - 8 height clearance,13.8
3853,184923,35.066796000000004,-85.14603699999998,Low Clearance,Chattanooga,TN,37421,LC13,,13 - 7 height clearance,13.7
3854,184924,35.446936,-84.45894,Low Clearance,Englewood,TN,37329,LC13,,13 - 0 height clearance (136),13.0
3855,184925,36.144772,-84.153026,Low Clearance,Clinton,TN,37716,LC7,,7 - 0 height clearance (136),7.0
3856,184926,36.041962,-84.34943100000002,Low Clearance,Oliver Springs,TN,37840,LC13,,13 - 8 height clearance,13.8
3857,184927,36.249763,-84.16996400000002,Low Clearance,Caryville,TN,37714,LC13,,13 - 6 height clearance,13.6
3858,184928,35.930861,-83.917746,Low Clearance,Knoxville,TN,37920,LC9,,9 - 1 height clearance (136),9.1
3859,184929,36.38160300000001,-84.126653,Low Clearance,La Follette,TN,37766,LC7,,5 - 10 height clearance (136),5.1
3860,184930,36.437862,-84.077928,Low Clearance,Duff,TN,37729,LC13,,13 - 10 height clearance,13.1
3861,184931,35.188931,-84.680743,Low Clearance,Benton,TN,37307,LC11,,11 - 10 height clearance (136),11.1
3862,184932,36.223696,-82.633985,Low Clearance,Limestone,TN,37681,LC13,,13 - 7 height clearance,13.7
3863,184933,35.54750900000001,-89.649159,Low Clearance,Covington,TN,38019,LC10,,10 - 9 height clearance (136),10.9
3864,184934,36.296089,-82.33988599999998,Low Clearance,Johnson City,TN,37604,LC15,,16 - 9 height clearance,16.9
3865,184935,36.310875,-82.33465100000002,Low Clearance,Johnson City,TN,37601,LC13,,13 - 10 height clearance,13.1
3866,184936,35.99247800000001,-83.944636,Low Clearance,Knoxville,TN,37917,LC13,,13 - 0 height clearance (136),13.0
3867,184937,36.015263,-83.92358,Low Clearance,Knoxville,TN,37918,LC13,,13 - 10 height clearance,13.1
