Unnamed: 0,cat,city,comments,elev,height,latitude,longitude,name,st,uid,zip
155.0,LC15,Fremont,15 - 0 height clearance,,15.0,37.55985,-121.95566000000001,Low Clearance,CA,104195.0,94536
156.0,LC13,Fresno,13 - 9 height clearance,,13.9,36.734389,-119.79434499999999,Low Clearance,CA,104217.0,93706
157.0,LC13,Fresno,13 - 0 height clearance (136),,13.0,36.77766,-119.8011,Low Clearance,CA,104218.0,93706
158.0,LC13,Fresno,13 - 6 height clearance,,13.6,36.78149000000001,-119.80411000000001,Low Clearance,CA,104219.0,93706
159.0,LC14,Glendale,14 - 9 height clearance,,14.9,34.12696,-118.26177,Low Clearance,CA,104275.0,91204
160.0,LC13,Healdsburg,13 - 8 height clearance,,13.8,38.57312,-122.8401,Low Clearance,CA,104317.0,95448
161.0,LC11,Highland,11 - 6 height clearance (136),,11.6,34.10099,-117.10583000000001,Low Clearance,CA,104334.0,92346
162.0,LC7,Lake Forest,7 - 5 height clearance (136),,7.5,33.63216,-117.69972,Low Clearance,CA,104412.0,92630
163.0,LC12,Los Angeles,12 - 9 height clearance (136),,12.9,34.05635,-118.25281000000001,Low Clearance,CA,104519.0,90012
164.0,LC13,Los Angeles,13 - 0 height clearance (136),,13.0,34.06735,-118.2393,Low Clearance,CA,104520.0,90012
165.0,LC12,Los Angeles,12 - 3 height clearance (136),,12.3,34.0775,-118.19398000000001,Low Clearance,CA,104521.0,90012
166.0,LC14,Los Angeles,14 - 0 height clearance,,14.0,34.07792,-118.26057,Low Clearance,CA,104522.0,90012
167.0,LC13,Los Angeles,13 - 10 height clearance,,13.1,34.07885,-118.193,Low Clearance,CA,104523.0,90012
168.0,LC14,Los Angeles,14 - 0 height clearance,,14.0,34.123673,-118.30078200000001,Low Clearance,CA,104524.0,90012
169.0,LC13,Los Angeles,13 - 6 height clearance,,13.6,34.1288,-118.48038000000001,Low Clearance,CA,104525.0,90012
170.0,LC13,Los Angeles,13 - 5 height clearance (136),,13.5,,,Low Clearance,CA,104526.0,90023
171.0,LC13,Martinez,13 - 6 height clearance,,13.6,38.0052,-122.10203,Low Clearance,CA,104578.0,94553
172.0,LC14,Marysville,14 - 0 height clearance in center with 13 - 10 on the sides,,14.0,39.13739,-121.58403999999999,Low Clearance,CA,104580.0,95901
173.0,LC11,Marysville,11 - 7 height clearance (136),,11.7,39.138490000000004,-121.58422,Low Clearance,CA,104581.0,95901
174.0,LC14,Marysville,14 - 6 height clearance,,14.6,39.13955,-121.59953999999999,Low Clearance,CA,104582.0,95901
175.0,LC10,Marysville,10 - 0 height clearance (136),,10.0,39.1396,-121.58436999999999,Low Clearance,CA,104583.0,95901
176.0,LC13,Marysville,13 - 5 height clearance (136),,13.5,39.1498,-121.59773,Low Clearance,CA,104584.0,95901
177.0,LC13,Oceanside,13 - 0 height clearance (136),,13.0,33.17347,-117.36513000000001,Low Clearance,CA,104752.0,92054
178.0,LC14,Ontario,14 - 7 height clearance,,14.7,34.06023,-117.65105,Low Clearance,CA,104770.0,91762
179.0,LC14,Ontario,14 - 10 height clearance,,14.1,34.061448999999996,-117.65091000000001,Low Clearance,CA,104771.0,91762
180.0,LC13,Oro Grande,13 - 11 height clearance,,13.11,34.608955,-117.34161399999999,Low Clearance,CA,104790.0,92368
181.0,LC13,Oroville,13 - 4 height clearance (136),,13.4,39.50939,-121.55553,Low Clearance,CA,104794.0,95966
182.0,LC13,Oroville,13 - 4 height clearance (136),,13.4,39.51116,-121.55391000000002,Low Clearance,CA,104795.0,95966
183.0,LC14,Palo Alto,14 - 3 height clearance,,14.3,37.442859999999996,-122.16453,Low Clearance,CA,104817.0,94301
184.0,LC10,Paso Robles,10 - 8 height clearance (136),,10.8,35.61775499999999,-120.68805800000001,Low Clearance,CA,104832.0,93446
185.0,LC13,Petrolia,13 - 11 height clearance,,13.11,40.243997,-124.12291599999999,Low Clearance,CA,104856.0,95558
186.0,LC13,Pinole,13 - 6 height clearance,,13.6,38.00816,-122.29276000000002,Low Clearance,CA,104866.0,94564
187.0,LC13,Quincy,13 - 0 height clearance (136),,13.0,40.0064,-121.2495,Low Clearance,CA,104902.0,95971
188.0,LC12,Richmond,12 - 7 height clearance (136),,12.7,37.921240000000004,-122.38555,Low Clearance,CA,104961.0,94801
189.0,LC13,Rio Oso,13 - 8 height clearance,,13.8,38.96129000000001,-121.53256,Low Clearance,CA,104969.0,95674
190.0,LC11,Riverside,11 - 7 height clearance (136),,11.7,33.91946,-117.4241,Low Clearance,CA,104987.0,92503
191.0,LC14,Riverside,14 - 11 height clearance,,14.11,33.923,-117.42703,Low Clearance,CA,104988.0,92503
192.0,LC13,Riverside,13 - 6 height clearance,,13.6,33.977270000000004,-117.37303999999999,Low Clearance,CA,104989.0,92503
193.0,LC13,Sacramento,13 - 10 height clearance,,13.1,38.586859999999994,-121.48142,Low Clearance,CA,105029.0,95832
194.0,LC15,San Clemente,15 height clearance,,15.0,33.381223,-117.57739099999999,Low Clearance,CA,105105.0,92672
195.0,LC13,San Diego,13 - 8 height clearance,,13.8,32.74579,-117.19243999999999,Low Clearance,CA,105118.0,92110
196.0,LC14,San Francisco,14 - 6 height clearance,,14.6,37.73925,-122.39468000000001,Low Clearance,CA,105150.0,94108
197.0,LC14,San Francisco,14 - 0 height clearance,,14.0,37.7499,-122.39321000000001,Low Clearance,CA,105151.0,94108
198.0,LC13,San Francisco,13 - 9 height clearance,,13.9,37.78045,-122.3992,Low Clearance,CA,105152.0,94108
199.0,LC13,San Francisco,13 - 0 height clearance (136),,13.0,37.79065,-122.39511999999999,Low Clearance,CA,105153.0,94108
200.0,LC13,San Francisco,13 - 0 height clearance (136),,13.0,37.792770000000004,-122.40758999999998,Low Clearance,CA,105154.0,94108
201.0,LC14,San Jose,14 - 7 height clearance,,14.7,37.31037,-121.88278999999999,Low Clearance,CA,105165.0,95126
202.0,LC14,San Jose,14 - 0 height clearance,,14.0,37.315749,-121.88762,Low Clearance,CA,105166.0,95126
203.0,LC13,San Jose,13 - 10 height clearance,,13.1,37.31796,-121.89075,Low Clearance,CA,105167.0,95126
204.0,LC13,San Jose,13 - 6 height clearance,,13.6,37.31814,-121.89303999999998,Low Clearance,CA,105168.0,95126
205.0,LC15,San Jose,15 - 0 height clearance,,15.0,37.31895,-121.89777,Low Clearance,CA,105169.0,95126
206.0,LC14,San Jose,14 - 2 height clearance,,14.2,37.326209999999996,-121.90283000000001,Low Clearance,CA,105170.0,95126
207.0,LC14,San Jose,14 - 7 height clearance,,14.7,37.33184,-121.90328999999998,Low Clearance,CA,105171.0,95126
208.0,LC13,San Jose,13 - 8 height clearance,,13.8,37.33459000000001,-121.9047,Low Clearance,CA,105172.0,95126
209.0,LC14,San Leandro,14 - 1 height clearance,,14.1,37.71117,-122.14733999999999,Low Clearance,CA,105199.0,94578
210.0,LC13,San Lucas,13 - 6 height clearance,,13.6,36.116906,-121.02814,Low Clearance,CA,105207.0,93954
211.0,LC15,San Mateo,15 - 1 height clearance,,15.1,37.5374,-122.29693,Low Clearance,CA,105221.0,94401
212.0,LC8,San Mateo,8 - 6 height clearance (136),,8.6,37.56992,-122.32576999999999,Low Clearance,CA,105222.0,94401
213.0,LC11,San Mateo,11 - 1 height clearance (136),,11.1,37.57125,-122.32723999999999,Low Clearance,CA,105223.0,94401
214.0,LC12,San Mateo,12 - 1 height clearance (136),,12.1,37.572520000000004,-122.32874,Low Clearance,CA,105224.0,94401
215.0,LC13,San Mateo,13 - 0 height clearance (136),,13.0,37.573859999999996,-122.33058999999999,Low Clearance,CA,105225.0,94401
216.0,LC14,Santa Clara,14 - 10 height clearance,,14.1,37.35822,-121.94736,Low Clearance,CA,105245.0,95051
217.0,LC13,Shasta Lake,13 - 9 height clearance,,13.9,40.6818,-122.37528999999999,Low Clearance,CA,105325.0,96019
218.0,LC13,Stockton,13 - 5 height clearance (136),,13.5,37.93412,-121.42161999999999,Low Clearance,CA,105371.0,95206
219.0,LC14,Stockton,14 - 11 height clearance,,14.11,37.94092,-121.27433,Low Clearance,CA,105372.0,95206
220.0,LC15,Stockton,15 - 0 height clearance,,15.0,37.957570000000004,-121.27885,Low Clearance,CA,105373.0,95206
221.0,LC12,Tujunga,15 - 0 height clearance (136) in arch center with 12 ft on sides,,15.0,34.314685,-118.135849,Low Clearance,CA,105447.0,91042
222.0,LC13,Waterford,13 - 0 height clearance (136),,13.0,37.71105,-120.60967,Low Clearance,CA,105544.0,95386
